pg_id,q_num,topic,ffvalue,q_id,r_id,debate_id,source,triple_id,q_text,r_text
3,1,death penalty,3.5,220785,217983,8109,4F,-1,"It actually saves us money. The death penalty (because of appeals) costs more than solitary confinement for life, both of which would ensure that the person would never kill again. Also I have the same question for drug users, gamblers, etc. Why make society pay to imprison them when all they are doing is hurt themselves?","Actually, the idea that the death penalty costs more than lifetime imprisonment has been disproved many times. The lowest estimate of the yearly cost for imprisoning somebody is around $22,000. The average amount of time a prisoner spends imprisoned after getting a life sentence is 60 years. Take into account the cost of building jails in order to house all these prisoners and you up the amount even more. After the average of 60 years for a life sentence, tax payers have spent $1,320,000 on ONE SINGLE PERSON. Imagine what this money could do in the education system? You said yourself, the only thing that may push the cost of the death penalty over life imprisonment is the ridiculous amount of appeals that are given. If only one appeal was given before the sentence was final, it would be far cheaper to exectue somebody than imprison them for life. How many times does a person need to prove their innocence? If they can't do it in the initial trial and after one appeal, sorry, game over...you lose. You can read more at this site:
 http://www.cwrl.utexas.edu/~tonya/spring/cap/pro5.htm"
3,2,gay marriage,-3,398005,398010,14131,4F,-1,"Don't be silly--no one is voting your family out of existence. Though it might make a fascinating Criss Angel or David Blane trick. This is simply about whether or not any group that wants to come along and redefine marriage should get to do so. I agree it's not an 'academic exercise', but not for the same reason you think.
 I no more take 'pleasure and joy' from something like this than any other public act of due process, e.g. voting to change the speed limit.
 Frankly, I've always thought it was pretty odd--if not downright disturbing--that some gay pride proponents seem to hold up the legality of their union as the determinant of their joy and emotion, when they are completely free to have whatever union they want regardless. After all, no one's going to block the door to the chapel, and I can guarantee you I'd be joyfully married with or without that piece of paper called a license.",You jsut don't get it. You act like two wolves and a sheep voting on what to have for lunch. You as a hetero get to go and get married to the person of your choice but I do not. What part of that do you not understand. You say this isn't personal and for you this is true but for me the man I love is nothing but a stranger to me in the eyes of the law. How cruel can you be
3,3,climate change,3,332443,332447,11942,4F,-1,"Global warming is nothing more than a myth that was cooked up by nature freaks who're against anything industrialized.
 
 And if that isn't true, then I don't care; we've already done far too much damage for any difference to be made now.","Hi NATO, I agree that irresponsible industrial pollution is damaging the environment and would never deny that at all. Acid Rain which is a side effect of air pollution has polluted more lakes, streams and rivers than direct dumping has and that is a direct result of heavy metals and other toxins being spewed into the atmosphere by industrial smoke stacks. So this reality goes without saying in my opinion.
 
 But environmental pollution is very different than extending the claim to the next level of Global Warming which implies that the worlds atmosphere is now incapable of repairing itself. That is the crux of this argument and if the atmosphere were so polluted that the Earth was unable to repair itself, then the air quality here in NH would be as polluted as it is in China and Russia even though we have no industrial air polluters at all to speak of here. That would be solid evidence that the volume of pollutants in the atmosphere is overwhelming the Earths ability to repair itself. But our air quality is pristine in comparison to any and all third world countries who are the largest polluters due to their lack of having any industrial pollution safeguards in place.
 
 So we must make the distinction between environmental pollution and air pollution clear because the Global Warming fraud is based specifically on the claim that air pollution is changing our weather and warming the planet, since all of the scientific evidence belies that claim."
3,4,abortion,-4,363293,363466,13045,4F,-1,"They always have a choice, whether legally or illegally. But I too hope they choose life.
 
 What disturbs me, though, are all the blacks, whites, and Hispanics who claim to be Christians, plus those who claim to be followers of the Jewish Tanakh, and who apparently think voting for a man (Obama) who is an abortion enabler, is ok with God. Have they never read Jeremiah 1:5 and Psalm 139:13, where God is instrumental in some way in creating life in a mother's womb - perhaps creating the spirit or whatever?","I highly doubt they throw them in the sink. They probably put them in a red plastic biohazard bag, tie it shut, and throw it on the pile of other red bags to be shipped off to a medical waste incinerator to be burned."
3,5,evolution,4.6,125721,125785,308,123,1436,"If life arose using carbon as its main ingredient. then is it possible that another element could be the main ingredient in a life cycle somwhere else?
Say on a planet where the temprature is a little lower and there are oceans of something that would be a gas on earth. maybe liquified xenon is pumping through the veins of a molybdneum based life form?
I dont know what would be a good substitute for carbon, I dont have a table of the elements in front of me.
","There are lot's of things that conduct electricity to some degree or another.
Polysilanes, for just one example, has a backbone of -Si-Si-Si-, and conducts because the sigma orbitals of Si are diffuse enough to overlap.
It's this de-localization of electrons that allows for conductivity.
If a carbon polymer has a lot of double/triple bonds or benzene rings then it should conduct.
Just like graphite, which is much more conductive along the a and b axes (the axes where the graphene planes lie) because of all the electronic delocalization.
But it's a poor conductor along the c-axis, because there are only weak pi-pi interactions and little orbital overlap.
Sulfur, I suppose would be a poor candidate for the basis of life.
The only times it forms more than two bonds is if it is bonded to a very electronegative atom like oxygen or fluorine. Also, it does not catenate very easily, and if it did, it would just be a chain of sulfur (no longer than 8 atoms long) with practically no functionality.
"
4,1,death penalty,3,268129,268287,9995,4F,-1,"With enough of a population size, you can check the effects of dozens of variables at once.","You can check the statistical relationship between dozens of variables, not the effects of them.
 
 For example if I correlated left hand strength with right hand strength across a billion individuals I would probably find a correlation of about 0.93, however this relationship is not causal, cutting off one hand will not result in a 90% strength reduction in the other.
 
 Correlational studies like this one can not determine cause and effect."
4,2,gay marriage,-4,85392,85416,10835,123,6008,"The understatement of the year!!
It would also further the complications of our increasingly failing schools.
","HAHAH.
School performance of students is directly related to who adults have sex with. What a funny comment.
-Mach
"
4,3,climate change,2.833333333,336611,336642,11942,4F,-1,"Those 2% included CO2 and had a number specifically attached to it. I don't remember what that number was, but if it were 'actually' showing measurable increases, why are we not all kept up to speed on how drastic the increases are? [i.e. 1970 it was 0.0123% and now it is 0.0124%].","Erm... we are? Levels of CO2 in the atmosphere are usually quoted as parts per million, currently a little over 380ppm, 150 years ago closer to 280. In 1970 about 330ppm.
 Carbon dioxide in the Earth's atmosphere - Wikipedia, the free encyclopedia"
4,4,abortion,-4,299013,302733,10860,4F,-1,We need to overturn the Roe v. Wade decision and get back to cherishing life in this country. For a country that murders it's children cannot be far from self destruction.,It's one thing that stands between us and a mindless theocracy. It protects the freedom of women from would-be ayatollahs who would make them sexual slaves.
4,5,evolution,4.4,270811,270816,8829,123,4737,"Ah good they include video clips of the altruistic behavior in chimps. Excellent idea.
","Well not exactly. The article addresses some commonality in humans and chimps with regard to altruism exhibited toward chimpanzees who are not known to the chimp exhibiting the behavior. The point was to draw a possible parallel between human altrusim which is known to go beyond mere kinship selection and the chimp behaviors which also appear to go beyond kinship-selection. The discussion goes to the fact that humans and chimps share a common ancestor at the point where humans and chimps went their separate evolutionary pathways. One possibility is that such a common ancestor may have had the capacity to also be altruistic to individuals outside its kinship group. Or of course that chimps and humans both developed their respective altruistic behaviors independently after the branch point.
None of this negates the concept of biological altruism in the form of kinship selection which a geneticall based effect. Indeed the article recognizes that chimps DO exhibit kinship selection effects!
There is of course no reason at al that one cannot have kinship selection as well as other motivators for altruistic behavior. So its rather premature to take kinship selection (which I think is what WW means by genetic altruisim) off the table just yet.
The article certainly does not draw the same conclusions as WW would have it do. Once more the rabbit hops over the actual work to his own preferred conclusion. SOP for the lagomorph.
"
5,1,death penalty,-3,26426,26492,1367,4F,-1,"We have some major flaws in our legal system. The first and foremost legal flaw is that American prisoners are American people and thus are granted first ammendment American rights. This means that murderers who don't get birthday cakes, a basketball court, tv, and a turkey for Thanksgiving go crying cruel and unusual punishment and then they get it.
 
 I've heard that the average cost of living of a capital punishment prisoner is appoximately $25,000.00 a year paid for by us.
 
 It's really bad when murderers on deathrow in Mexico are calling murderers on deathrow in America p*****s and want to transfer here.
 
 
 
 
 LEVIATHAN",You know what is far worse than murder itself? Executing people to save some money.
5,2,gay marriage,4.4,231930,236520,8922,4F,-1,"Are there any experts on Canadian or international law here?
 
 If I get married in Canada and the license is not recogised in the United states. Is there a possiblity of going to court in Canada and getting the Canadian government to to recognise marriage licenses from the United States?","Just to point out, while not reconized by the feds, NY state will reconize it.
 
 
 http://www.cnn.com/2006/LAW/10/25/jersey.samesex.ap/index.html
 
 Also, TRENTON, New Jersey (AP) -- New Jersey's Supreme Court ruled Wednesday that same-sex couples are entitled to the same rights as heterosexual couples.
 
 But the court left it to the Legislature to determine whether the state will honor gay marriage or some other form of civil union.
 
 Advocates on both sides of the issue believed the state posed the best chance for gay marriage to win approval since Massachusetts became the only state to do so in 2003 because the New Jersey Supreme Court has a history of extending civil rights protections.
 
 Instead, the high court stopped short of fully approving gay marriage and gave lawmakers 180 days to rewrite marriage laws to either include gay couples or create new civil unions. (Opinion -- pdfexternal link)
 
 'The issue is not about the transformation of the traditional definition of marriage, but about the unequal dispensation of benefits and privileges to one of two similarly situated classes of people,' the court said in its 4-3 ruling."
5,3,climate change,-2.6,143483,143488,5844,4F,-1,"You'll have to ask gnojek that. It appears he thinks that any pronouncement by a scientist suggesting CO2 production is a problem is a conspiracy theory by scientists to get bigger budgets:
 
 'As scientists we will tell you that there is a major problem that can only be solved through science , which can only be done with money. We're scientists and we really like grant money to do research. Wouldn't it be great if we had a global initiative to fund this research indefinitely, or until the global warming problem is solved...'
 
 It's the YEC movement all over again: there's no proof, the evidence could be interpreted either way, it's a scientific conspiracy theory, the Devil is behind it: it's un-Christian to cut back on fossil fuel burning etc emoticon_xclown","Ah, my bad... :p"
5,4,abortion,5,66988,67244,3177,4F,-1,"Obviously, you can't please everyone!! That is just a story of one person. Why didn't you cite the statements of millions of Iraqis who praise our help in removing their totalitarian leader?","Actually the kid was on a panel, all pretty much saying the same thing. 
 
 Why didn't YOU cite them?"
5,5,evolution,-4.6,70796,70837,1499,123,6634,"I am 50% sure that God exists and 50% sure that he doesn't. Woo hoo.
","well that won't help you when you go to hell...Woo hoo
"
6,1,death penalty,-2.833333333,57964,57974,2730,4F,-1,"I have had some experience with this topic...
 My father was murdered when I was 12, the perp was convicted a year later and was charged with 1st degree murder and sentenced to death..
 flash forward 24 years
 He ran his course of appeals and every legal proceeding you can imagine. His lawyer after 20 years of him being on death row came up with 'retardation'
 Mind you he 'walked' 3 times.. all of which I was there to witness. I was to be a witness to the execution by request of my grandmother who has passed on. anyway at the last minute he got a stay of execution. Back to the drawing table.. Last year after several hearings, they came to the conclusion the he was mentally retarded..scoring a 75 on his IQ test. The limit for the death penalty is 70. He was a high school graduate, had a family, held jobs.. and clearly competent, nonetheless they found him otherwise. So now he is off death row, and the DA has told me that it is possible he could get parole eventually. With all that it has been a very trying time for me and I have had to struggle with how I really felt about the death penalty. I have been a supporter but never really could my put heart into my conviction. I do not know if it is out of revenge or not, hard to say I am too close to the matter. But I did feel let down when they took him off death row, now I feel like there will never be justice. I put so many years of waiting for that moment... it sounds kind of sick, but as much as I dreaded witnessing it, I also looked forward to it.
 I do think that maybe life in prison may be better, only if his experience there is just awful....
 but the revenge side of me, just wants him to suffer what my father suffered. but if you were to ask me to think about this the old fashion way, which would be I should be the one to flip the switch .. not so sure I could do it.
 so with all that I still don't really know if I in my heart, support the death penalty or I am just after revenge.
 The victims of violence I would imagine go through this struggle.
 Side note... the man who murdered my father also killed a young girl when he was a minor... he had escaped from the correctional facility he was in.. and it was several years later when he killed my dad.","So sorry, Anastasia...that's a horrible thing to face. And now, using that excuse? What!
 
 If justice was swift for the guilty then he would not have escaped only to do it again. Some criminals never change, and via your testimony, only live to do it again.
 
 There are some who need to be put to death.
 
 Your situation made me shudder, Anastasia. But, I am glad you didn't let it (revenge) effect you to the point of taking his life yourself.
 
 If it would have been my father, those many years ago, I cannot say that I would have waited, nor would have accepted that lame excuse of retardation. I could very well be in prison myself."
6,2,gay marriage,3,50240,50303,2131,4F,-1,But how is homosexuality wrong?,"Nature doesn't allow homosexual sex to create life, to reproduce, and though humans use sex as entertainment, it obviously was meant for a greater purpose. Biology shows us we need both male and female to create life, that male and male doesn't create life, that indivdual gratification doesn't create life. If you want to attach relgious or philosophical significance to sex you may at this juncture. That is why I think it is wrong. Humanity wouldn't be around if homosexuality were the standard, homosexuals wouldn't exist without heterosexuals. You may be looking for a more fundamental 'morality' to my basis. I choose to validate my beliefs on science and years of living proof of heterosexualitie's superiority, and when I mean hetero superiority I mean strict hetero adhearance, no socially unacceptable behavior being thrown in like 'cheating' or 'rape'."
6,3,climate change,-1.8,249536,249571,390,4F,-1,"When we drive our cars, the fuel emits into the air, causing global warming.","I'll try to be nice since you wrote it in 7th grade. 
 
 
 
 Homo Sapien hasn't existed for millions of years. It would be more appropriate to say that the Earth has provided the basis for life for hundreds of millions of years. 
 
 
 
 And most of that goes into landfills....
 
 
 
 Not really. World forests are at risk for farm land and non-paper logging, not for paper which is being replaced by post consumer waste at increasing rates. Most paper people use today contains at least some recycled paper.
 
 
 
 It's not just cars and catalytic converters have greatly decreased emissions.
 
 
 
 Cereal factories aren't that big of polluters. The largest polluters are energy plants with a few exceptions like some of Alcoa's smelters which burns one of the dirtiest types of coal in the almunimum production process. And the world will go from bad to worse, from worse to horrible and from horrible to castastrphoic. Not suddenly. That's day after tomorrow fantasy. 
 
 
 
 Flooding is more a immediate problem. 
 
 
 
 No they aren't. The sun is the main source of weather through the energy transfer from light to various parts of the enviroment. 
 
 
 
 We don't actually know this for sure. There is some data but much speculation as to what is exactly causing larger and more frequent storms. The bigger problem of reducing salinity is the currents themselves and how they intergrate with migration and heat transfer. Sources of food that humans depend upon could disappear if currents drastically change. And the basis of Day after Tommorrow is correct in how the gulf stream helps regulate temperatures in Europe."
6,4,abortion,4.2,385660,385816,13742,4F,-1,Chickens have eggs.,But the point you miss is that a caterpillar is NOT a butterfly; a puppy is NOT a full grown dog; a ZYGOTE and a FETUS are NOT children.
6,5,evolution,-4.166667,384458,384480,5222,123,2173,"The Big Bang arose from a singularity not from nothing.
This is a clear sign that th reader doesn't understand cosmology or science.
Yet we are supposed to believe that a God created the universe out of nothing especially since there is no shred of evidence for a God.
This topic is covered extensively in the online monthly magazine - Science and Discovery. These folks also debunk the Bible and other religious nonsence.
The name of the organization which I suggest everyone look at is Science Club of Long Island.
","Your unenlightened state forbids it. There is nothing which will divide you from your delusion.
"
7,1,death penalty,-2,306040,306069,11057,4F,-1,"Actually, society hasn't said this. 5 judges, in very recent times, have. I for one think that some 17 year olds fully comprehend the full implications of murder, and therefore should be held accountable in the same way as an 18 year old. I guess I just don't see any reason why a jury could not address the issue on a case by case basis. I do not see the '18 and over execution rule' in the eighth amendment.","And no, it is not at all clear that this is not about abortion, Phyl, because you keep bringing the topic up. Because you declare something, that doesn't make it so.
 
 Lastly, you are asking the opinions of members of a forum here. If you want our opinions, great. If our opinions differ from some court ruling, it does not mean the opinions are wrong, it means they differ. Given your criterion, the only way to express opinions here would be if we were doing it from the bench."
7,2,gay marriage,3.571428571,313468,313479,11290,4F,-1,"1) I haven't read the Bible cover to cover. So, please cite the where the term 'marriage' is used in the Bible.","Where to start. The term Marriage appears 41 times in the NIV (New International Version). The term Marry appears 42 times in the NIV. But there are some relevant verses that speak to the rightness or wrongness of marriage in different situations; most of which refer to moral issues which is something people in this generation don't want to consider at all. For example, here the bible speaks about keeping the marriage BED pure and undefiled. 
 
 Hbr 13:4 Marriage {is to be held} in honor among all, and the {marriage} bed {is to be} undefiled; for fornicators and adulterers God will judge.
 And here is where God consecrated the relationship (Marriage) between Man and Woman through Adam and Eve. He also gave Man dominion over all the animals of the World at this time. 
 
 No where does the bible refer to gay marriage anywhere in the positive sense as the concept was never raised or dreamt of by anyone in the ancient world, homosexuals included. Only in this generation have the morals and values of society become so reprobate that these various unnatural forms of sexual perversions are seen as right and normal.
 Gen 1:28 Then God blessed them(Adam and Eve), and God said to them, 'Be fruitful and multiply; fill the earth and subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.'Exd 22:19 'Whoever has sex with an animal shall surely be put to death.
 Sex with animals was once a death penalty offense. Today, we have web sites promoting it.
 
 Lev. 20:13 ''If a man lies with a man as one lies with a woman, both of them have done what is detestable. They must be put to death; their blood will be on their own heads.
 
 ROM 1:26 Because of this, God gave them over to shameful lusts. Even their 
 women exchanged natural relations for unnatural ones.
 
 27 In the same way the men also abandoned natural relations with women and were inflamed with lust for one another. Men committed indecent acts with other men, and received in themselves the due penalty for their perversion.
 
 32 Although they know God's righteous decree that those who do such things 
 deserve death, they not only continue to do these very things but also 
 approve of those who practice them.
 
 Now all one must do to rationally determine that God, through His word condemns the concept of homosexual marriage is to look at his attitude on homosexuality. If God considers homosexuality so unnatural an act and a death penalty offense under the OT Law, do you really believe that He thinks gay marriage is right, acceptable or normal?"
